id,title,price,date,place,link
"10118402","Гэмтлийн эмнэлгийн баруун талд 57.55 мкв 2 өрөө","235.96 сая ₮","2 долоо хоногийн өмнө","УБ — Баянгол, Баянгол, Хороо 21","https://www.unegui.mn/adv/10118402_gemtliin-emnelegiin-baruun-tald-tsoo-shine-2-oroo/"
"10025725","Encanto town 1-д 109.14 мкв 3 өрөө","643.93 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Баянзүрх, Хороо 26","https://www.unegui.mn/adv/10025725_encanto-town-1/"
"10118386","Regis place-д 62 м² 2 өрөө","650 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 15","https://www.unegui.mn/adv/10118386_regis-place-d-62m2-2-oroo-oron-suuts/"
"10118388","ХУД, Яармаг, Вива сити хотхонд 95,57 мкв 3 өрөө","286.71 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Яармаг","https://www.unegui.mn/adv/10118388_khud-iaarmag-vivasiti-khotkhond-95-57-mkv-3-oroo-oron-suuts/"
"10073154","Бзд гарден резиденс 2 өрөө 37.67мкв","145 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Баянзүрх, Хороо 38","https://www.unegui.mn/adv/10073154_bzd-2-oroo-145-saia-garden-rezidens/"
"10111224","Мандала 365 хотхонд 3 өрөө 132.5мкв орон сууц","1.59 Тэрбум ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Баянзүрх, Хороо 26","https://www.unegui.mn/adv/10111224_mandala-365-khotkhon-3-oroo-2-ariun-tsevriin-orootei-132-5mk-oron-suuts/"
"10118348","Амгаланд 41 мкв 2 өрөө","130.88 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Ботаник","https://www.unegui.mn/adv/10118348_amgaland-ashiglaltad-orzh-baigaa-bairand-41-m2-tai-2-oroo-zarna/"
"10118374","БЗД, 8-р хороо, Баганат өргөө хорооллын замын эсрэг талд 35.5 мкв 2 өрөө","120.7 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Баянзүрх, Хороо 8","https://www.unegui.mn/adv/10118374_bzd-8-r-khoroo-baganat-orgoo-khoroollyn-zamyn-esreg-tald/"
"10118371","Мандала гарденд 105 мкв 4 өрөө","506.64 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 23","https://www.unegui.mn/adv/10118371_mandala-garden-4-oroo-bair-khudaldana/"
"10118370","БЗД-ийн урд, Амгалан амаржих эмнэлгийн хажууд 79 мкв 3 өрөө","335 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Амгалан амаржих газар","https://www.unegui.mn/adv/10118370_bzd-iin-urd-amgalan-amarzhikh-emnelegiin-khazhuud-79mkv-3-oroo-bair-zarna/"
"10118341","Сбд 8-р хороо 11-р хороолол 2-р сургуулийн хойно хуучны угсармалд 3 өрөө 85мкв байр","330 сая ₮","2 долоо хоногийн өмнө","УБ — Сүхбаатар, Сүхбаатар, Хороо 8","https://www.unegui.mn/adv/10118341_sbd-8-r-khoroo-11-r-khoroolol-2-r-surguuliin-khoino-khuuchny-ugsarmald-3-g-oroo-zarna/"
"10036298","Зайсан seven star хотхон 131.12мкв 4 өрөө","643 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Зайсан","https://www.unegui.mn/adv/10036298_zaisan-seven-star-khotkhon-131-12-4-oroo/"
"9916221","Худ зайсан buddha vista-д duplex 7 өрөө 236 м2 байр","1.3 Тэрбум ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 11","https://www.unegui.mn/adv/9916221_zaisan-buddha-vista-duplex-7-oroo-khudaldana-13-14-davkhart/"
"10118311","Багшийн дээд, Арслантай гүүрний урд 68/3-р байранд 51.3 мкв 2 өрөө","196 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Баянзүрх, Хороо 6","https://www.unegui.mn/adv/10118311_bagshiin-deed-arslantai-guurnii-urd-bzd-6-khoroo-68-3-r-bairand-51-3m-2-oroo/"
"9970208","Худ river garden-1 хотхонд 174.2мкв 5 өрөө орон сууц","1.39 Тэрбум ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, River Garden","https://www.unegui.mn/adv/9970208_khud-river-garden-1-khotkhond-174-2mkv-5oroo-oron-suuts-2dulaan-zogsoolyn-khamt/"
"10118248","БГД-т 25 мкв 1 өрөө","115 сая ₮","2 долоо хоногийн өмнө","УБ — Баянгол, Баянгол, Хороо 2","https://www.unegui.mn/adv/10118248_1-oroo-bair-zarna/"
"10094067","Шинэ хороолол хотхонд 31.5 мкв 1 өрөө орон сууц","130 сая ₮","2 долоо хоногийн өмнө","УБ — Баянгол, 3, 4 хороолол","https://www.unegui.mn/adv/10094067_shine-khoroolol-khotkhond-31-5-mkv-1-oroo-oron-suuts-khudaldana/"
"10118224","Яармаг шинэ хотын захиргааны баруун урд арвай вилла хотхонд 3 өрөө 81.21мкв байр","251.75 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Яармаг","https://www.unegui.mn/adv/10118224_iaarmag-shine-khotyn-zakhirgaany-baruun-urd-arvai-villa-khotkhond-81-21mkv-3oroo/"
"10118252","Яармаг нэгдсэн эмнэлгийн урд мандала гарден хотхонд 3 өрөө 74.53мкв байр","327.93 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Яармаг","https://www.unegui.mn/adv/10118252_iaarmag-negdsen-emnelgiin-chankh-urd-mandala-garden-khotkhond-74-53mkv-3oroo/"
"10118235","11-р хороололд 72 мкв 3 өрөө","450 сая ₮","2 долоо хоногийн өмнө","УБ — Сүхбаатар, 11-р хороолол","https://www.unegui.mn/adv/10118235_11-r-khoroolold-3-oroo-oron-suuts-khudaldana/"
"10118243","Зүүн 4 зам, Оршил хотхонд 45,5 мкв 2 өрөө","250 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Зүүн 4 зам","https://www.unegui.mn/adv/10118243_zuun-4-zam-orshil-khotkhond-45-5mk-2-oroo-bair-zarna-gerchilgee-belen-deeguur-davkhar/"
"9905288","100 айлд гал тогоо тусдаа 36 мкв 1 өрөө","130 сая ₮","2 долоо хоногийн өмнө","УБ — Сүхбаатар, 100 айл","https://www.unegui.mn/adv/9905288_100-aild-gal-togoo-tusdaa-1-oroo-bair-khudaldana/"
"10118218","Цэнгэлдэх, Парк гарденд 1-р давхрын 74.78 мкв 3 өрөө","523.46 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хурд","https://www.unegui.mn/adv/10118218_tsengeldekh-park-gardend-1-davkhryn-3-oroo/"
"9810428","Зайсанд golden vill хотхонд 168,23мкв 5 өрөө орон сууц","550 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 11","https://www.unegui.mn/adv/9810428_zaisand-golden-vill-khotkhond-168-23mkv-5-oroo-oron-suuts-khudaldana/"
"9469359","Схд содон хороололд 2 өрөө 56.7 мкв байр","175 сая ₮","2 долоо хоногийн өмнө","УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 37","https://www.unegui.mn/adv/9469359_sodon-khoroolold-56-7-mvk-2-oroo-khudaldana/"
"10064795","120 гэгээтэн хотхонд 3 өрөө байр 110мкв","650 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, 120 мянгат","https://www.unegui.mn/adv/10064795_120-gegeeten-khotkhon-3-oroo-bair-zarna/"
"10046844","Бзд, 36-р хороо, баянмонголд 96,27 мкв 4 өрөө байр","385.08 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Баянмонгол хороолол","https://www.unegui.mn/adv/10046844_bzd-36-r-khoroo-baianmongold-96-27-mvk-4-oroo/"
"10118190","115-р сур ард 63 м.кв 3 өрөө","258 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 15","https://www.unegui.mn/adv/10118190_115-r-sur-ard-63-m-kv-3-oroo/"
"10118168","Songino hairhan duureg 20 r horoo 3 oroo 50m2","155 сая ₮","2 долоо хоногийн өмнө","УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 20","https://www.unegui.mn/adv/10118168_songino-hairhan-duureg-20-r-horoo-gal-togoo-tusdaa-3-uruu-1-dawhariin-bair-zarn/"
"10014326","Kingtower duplex 5 өрөө 245м2","1.35 Тэрбум ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 17","https://www.unegui.mn/adv/10014326_kingtower-duplex/"
"10118156","Аураг виювд 4 өрөө 99,95 м2","449.77 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Яармаг","https://www.unegui.mn/adv/10118156_aurag-viiuv-4-oroo-99-95m2-bair-khudaldana/"
"10023274","ХУД, Оргил шилтгээн хотхонд мастертай 97.15 мкв 3 өрөө","456.61 сая ₮ 485.75 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 19","https://www.unegui.mn/adv/10023274_orgil-shiltgeen-khotkhond-97-15-mkv-mastertai-3-oroo-oron-suuts/"
"10021769","Зайсан сүлд буянт хотхонд 2 өрөө 54.77мкв","226 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Зайсан","https://www.unegui.mn/adv/10021769_zaisan-suld-buiant-khotkhond-2-oroo-shine-oron-suuts-khudaldana/"
"10118144","Худ арцат апартмент 2 хотхонд мастертай 3 өрөө 75мкв орон сууц","295 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 23","https://www.unegui.mn/adv/10118144_khud-artsat-apartment2-khotkhond-mastertai-3-oroo-oron-suuts-khudaldana/"
"10118149","Бзд 1-р хороо consul tower-т 2 өрөө 48.31мкв байр","248 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Баянзүрх, Хороо 1","https://www.unegui.mn/adv/10118149_bzd-1-r-khoroo-consul-tower-t-2-oroo-khudaldana/"
"9344000","Soyombo towert 155m2 4 uruu bair","1.4 Тэрбум ₮","2 долоо хоногийн өмнө","УБ — Сүхбаатар, Сүхбаатар, Хороо 1","https://www.unegui.mn/adv/9344000_soyombo-towert-155m2-4-uruu-bair-hudaldan/"
"10079627","Singa town mastertai 3 uruu 97.11мкв bair","534.11 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 11","https://www.unegui.mn/adv/10079627_singa-town-mastertai-3-uruu-uudaldan/"
"10118122","KH apartment-д 103 мкв 3 өрөө","530 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 15","https://www.unegui.mn/adv/10118122_kh-apartment-d-103-mkv-3-oroo/"
"10118128","ХУД, 15-р хороо, Рапид хотхонд 71 мкв 2 өрөө, дулаан зогсоолын хамт","395 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хурд","https://www.unegui.mn/adv/10118128_khud-15r-khoroo-khurd-rapid-khotkhond-2oroo-oron-suuts-dulaan-zogsoolyn-khamt-khudaldana/"
"10118104","Бзд 26-р хороо баянмонгол хороололд 4 өрөө 118.44мкв орон сууц","510 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Баянзүрх, Хороо 26","https://www.unegui.mn/adv/10118104_bzd-26-r-khoroo-baianmongol-khoroolold-4-oroo-oron-suuts-khudaldana/"
